~id,~from,~to,~label
gc_239_gc_978,gc_239,gc_978,edge
gc_935_gc_864,gc_935,gc_864,edge
gc_935_gc_868,gc_935,gc_868,edge
gc_935_gc_936,gc_935,gc_936,edge
gc_1204_gc_862,gc_1204,gc_862,edge
gc_1204_gc_1064,gc_1204,gc_1064,edge
gc_862_gc_913,gc_862,gc_913,edge
gc_862_gc_863,gc_862,gc_863,edge
gc_1084_gc_40,gc_1084,gc_40,edge
gc_1084_gc_1085,gc_1084,gc_1085,edge
gc_40_gc_876,gc_40,gc_876,edge
gc_40_gc_1079,gc_40,gc_1079,edge
gc_1085_gc_877,gc_1085,gc_877,edge
gc_1086_gc_133,gc_1086,gc_133,edge
gc_1086_gc_1079,gc_1086,gc_1079,edge
gc_133_gc_205,gc_133,gc_205,edge
gc_133_gc_1044,gc_133,gc_1044,edge
gc_133_gc_1260,gc_133,gc_1260,edge
gc_133_gc_861,gc_133,gc_861,edge
gc_1088_gc_1086,gc_1088,gc_1086,edge
gc_1088_gc_1080,gc_1088,gc_1080,edge
gc_1088_gc_1089,gc_1088,gc_1089,edge
gc_876_gc_877,gc_876,gc_877,edge
gc_876_gc_133,gc_876,gc_133,edge
gc_902_gc_734,gc_902,gc_734,edge
gc_281_gc_607,gc_281,gc_607,edge
gc_281_gc_174,gc_281,gc_174,edge
gc_281_gc_1256,gc_281,gc_1256,edge
gc_281_AUTO_766,gc_281,AUTO_766,edge
gc_281_gc_55,gc_281,gc_55,edge
gc_281_gc_778,gc_281,gc_778,edge
gc_281_gc_977,gc_281,gc_977,edge
gc_281_gc_57,gc_281,gc_57,edge
gc_281_gc_1347,gc_281,gc_1347,edge
gc_281_gc_1260,gc_281,gc_1260,edge
gc_281_gc_1322,gc_281,gc_1322,edge
gc_281_gc_702,gc_281,gc_702,edge
gc_281_gc_680,gc_281,gc_680,edge
gc_281_gc_606,gc_281,gc_606,edge
gc_281_gc_610,gc_281,gc_610,edge
gc_281_gc_143,gc_281,gc_143,edge
gc_281_gc_164,gc_281,gc_164,edge
gc_281_gc_254,gc_281,gc_254,edge
gc_281_gc_150,gc_281,gc_150,edge
gc_281_gc_131,gc_281,gc_131,edge
gc_281_gc_114,gc_281,gc_114,edge
gc_281_gc_76,gc_281,gc_76,edge
gc_281_gc_311,gc_281,gc_311,edge
gc_281_gc_626,gc_281,gc_626,edge
gc_732_gc_733,gc_732,gc_733,edge
gc_25_gc_777,gc_25,gc_777,edge
gc_25_gc_142,gc_25,gc_142,edge
gc_4_gc_604,gc_4,gc_604,edge
gc_4_gc_259,gc_4,gc_259,edge
gc_4_gc_215,gc_4,gc_215,edge
gc_4_gc_3,gc_4,gc_3,edge
gc_4_gc_6,gc_4,gc_6,edge
gc_4_gc_350,gc_4,gc_350,edge
gc_4_gc_843,gc_4,gc_843,edge
gc_4_gc_68,gc_4,gc_68,edge
gc_1082_gc_733,gc_1082,gc_733,edge
gc_1080_gc_1079,gc_1080,gc_1079,edge
gc_1080_gc_1081,gc_1080,gc_1081,edge
gc_111_gc_1157,gc_111,gc_1157,edge
gc_314_gc_1322,gc_314,gc_1322,edge
gc_314_gc_1272,gc_314,gc_1272,edge
gc_1258_gc_281,gc_1258,gc_281,edge
gc_916_gc_395,gc_916,gc_395,edge
gc_863_gc_935,gc_863,gc_935,edge
gc_863_gc_866,gc_863,gc_866,edge
gc_1089_gc_1087,gc_1089,gc_1087,edge
gc_1089_gc_1081,gc_1089,gc_1081,edge
gc_1083_gc_1085,gc_1083,gc_1085,edge
gc_1081_gc_1082,gc_1081,gc_1082,edge
gc_610_gc_142,gc_610,gc_142,edge
gc_1210_gc_953,gc_1210,gc_953,edge
AUTO_766_gc_701,AUTO_766,gc_701,edge
AUTO_766_gc_603,AUTO_766,gc_603,edge
AUTO_766_gc_831,AUTO_766,gc_831,edge
gc_821_gc_352,gc_821,gc_352,edge
gc_821_gc_820,gc_821,gc_820,edge
gc_356_gc_968,gc_356,gc_968,edge
gc_356_gc_1258,gc_356,gc_1258,edge
gc_952_gc_1210,gc_952,gc_1210,edge
gc_952_gc_1007,gc_952,gc_1007,edge
gc_952_gc_239,gc_952,gc_239,edge
gc_952_gc_414,gc_952,gc_414,edge
gc_952_gc_111,gc_952,gc_111,edge
gc_952_gc_862,gc_952,gc_862,edge
gc_1182_gc_1071,gc_1182,gc_1071,edge
gc_1182_gc_1181,gc_1182,gc_1181,edge
gc_143_gc_276,gc_143,gc_276,edge
gc_143_gc_1361,gc_143,gc_1361,edge
gc_143_gc_142,gc_143,gc_142,edge
gc_699_gc_701,gc_699,gc_701,edge
gc_699_gc_705,gc_699,gc_705,edge
gc_264_gc_276,gc_264,gc_276,edge
gc_264_gc_192,gc_264,gc_192,edge
gc_977_gc_264,gc_977,gc_264,edge
gc_977_gc_1001,gc_977,gc_1001,edge
gc_977_gc_843,gc_977,gc_843,edge
gc_977_gc_352,gc_977,gc_352,edge
gc_977_gc_755,gc_977,gc_755,edge
gc_680_gc_264,gc_680,gc_264,edge
gc_680_gc_682,gc_680,gc_682,edge
gc_680_gc_763,gc_680,gc_763,edge
gc_267_gc_264,gc_267,gc_264,edge
gc_267_gc_4,gc_267,gc_4,edge
gc_57_gc_264,gc_57,gc_264,edge
gc_57_gc_25,gc_57,gc_25,edge
gc_57_gc_89,gc_57,gc_89,edge
gc_57_gc_4,gc_57,gc_4,edge
gc_997_gc_264,gc_997,gc_264,edge
gc_704_gc_264,gc_704,gc_264,edge
gc_254_gc_264,gc_254,gc_264,edge
gc_254_gc_598,gc_254,gc_598,edge
gc_254_gc_142,gc_254,gc_142,edge
gc_5_gc_276,gc_5,gc_276,edge
gc_5_gc_457,gc_5,gc_457,edge
gc_5_gc_156,gc_5,gc_156,edge
gc_5_gc_3,gc_5,gc_3,edge
gc_5_gc_314,gc_5,gc_314,edge
gc_703_gc_276,gc_703,gc_276,edge
gc_702_gc_192,gc_702,gc_192,edge
gc_682_gc_192,gc_682,gc_192,edge
gc_682_gc_831,gc_682,gc_831,edge
gc_682_gc_544,gc_682,gc_544,edge
gc_142_gc_192,gc_142,gc_192,edge
gc_1342_gc_1182,gc_1342,gc_1182,edge
gc_1342_gc_1336,gc_1342,gc_1336,edge
gc_1017_gc_1019,gc_1017,gc_1019,edge
gc_1336_gc_1338,gc_1336,gc_1338,edge
gc_495_gc_494,gc_495,gc_494,edge
gc_501_gc_494,gc_501,gc_494,edge
gc_501_gc_497,gc_501,gc_497,edge
gc_564_gc_616,gc_564,gc_616,edge
gc_820_gc_788,gc_820,gc_788,edge
gc_1338_gc_1337,gc_1338,gc_1337,edge
gc_1338_gc_1205,gc_1338,gc_1205,edge
gc_1063_gc_1064,gc_1063,gc_1064,edge
gc_1062_gc_1063,gc_1062,gc_1063,edge
gc_1347_gc_746,gc_1347,gc_746,edge
gc_150_gc_148,gc_150,gc_148,edge
gc_150_gc_88,gc_150,gc_88,edge
gc_150_gc_65,gc_150,gc_65,edge
gc_1322_gc_1361,gc_1322,gc_1361,edge
gc_1322_gc_1321,gc_1322,gc_1321,edge
gc_1256_gc_1257,gc_1256,gc_1257,edge
gc_55_gc_267,gc_55,gc_267,edge
gc_311_gc_74,gc_311,gc_74,edge
gc_311_gc_701,gc_311,gc_701,edge
gc_311_gc_25,gc_311,gc_25,edge
gc_311_gc_1361,gc_311,gc_1361,edge
gc_1260_gc_1257,gc_1260,gc_1257,edge
gc_895_gc_281,gc_895,gc_281,edge
gc_282_gc_281,gc_282,gc_281,edge
AUTO_1789_gc_281,AUTO_1789,gc_281,edge
gc_63_gc_843,gc_63,gc_843,edge
gc_65_gc_63,gc_65,gc_63,edge
gc_65_gc_1361,gc_65,gc_1361,edge
gc_65_gc_142,gc_65,gc_142,edge
gc_65_gc_89,gc_65,gc_89,edge
gc_65_gc_266,gc_65,gc_266,edge
gc_65_gc_682,gc_65,gc_682,edge
gc_65_gc_703,gc_65,gc_703,edge
gc_65_gc_352,gc_65,gc_352,edge
gc_951_gc_1155,gc_951,gc_1155,edge
gc_951_gc_390,gc_951,gc_390,edge
gc_810_gc_390,gc_810,gc_390,edge
gc_202_gc_1016,gc_202,gc_1016,edge
gc_998_gc_999,gc_998,gc_999,edge
gc_998_gc_995,gc_998,gc_995,edge
gc_993_gc_1000,gc_993,gc_1000,edge
gc_993_gc_998,gc_993,gc_998,edge
gc_1015_gc_1016,gc_1015,gc_1016,edge
gc_51_gc_1016,gc_51,gc_1016,edge
gc_1087_gc_1082,gc_1087,gc_1082,edge
gc_205_gc_1257,gc_205,gc_1257,edge
gc_205_gc_947,gc_205,gc_947,edge
gc_894_gc_895,gc_894,gc_895,edge
gc_560_gc_564,gc_560,gc_564,edge
gc_88_gc_393,gc_88,gc_393,edge
gc_88_gc_156,gc_88,gc_156,edge
gc_88_gc_392,gc_88,gc_392,edge
gc_390_gc_111,gc_390,gc_111,edge
gc_788_gc_1267,gc_788,gc_1267,edge
gc_788_gc_789,gc_788,gc_789,edge
gc_1255_gc_1256,gc_1255,gc_1256,edge
gc_1255_gc_205,gc_1255,gc_205,edge
gc_946_gc_947,gc_946,gc_947,edge
gc_946_gc_948,gc_946,gc_948,edge
gc_415_gc_1113,gc_415,gc_1113,edge
gc_753_gc_895,gc_753,gc_895,edge
gc_724_gc_732,gc_724,gc_732,edge
gc_734_gc_897,gc_734,gc_897,edge
gc_691_gc_55,gc_691,gc_55,edge
gc_691_gc_133,gc_691,gc_133,edge
gc_350_gc_220,gc_350,gc_220,edge
gc_483_gc_482,gc_483,gc_482,edge
gc_483_gc_504,gc_483,gc_504,edge
gc_968_AUTO_766,gc_968,AUTO_766,edge
gc_787_gc_831,gc_787,gc_831,edge
gc_787_gc_789,gc_787,gc_789,edge
gc_880_gc_877,gc_880,gc_877,edge
gc_777_gc_544,gc_777,gc_544,edge
gc_266_gc_4,gc_266,gc_4,edge
gc_266_gc_704,gc_266,gc_704,edge
gc_1155_gc_133,gc_1155,gc_133,edge
gc_1155_gc_913,gc_1155,gc_913,edge
gc_1154_gc_913,gc_1154,gc_913,edge
gc_1154_gc_133,gc_1154,gc_133,edge
gc_1053_gc_1054,gc_1053,gc_1054,edge
gc_470_gc_1054,gc_470,gc_1054,edge
gc_992_gc_997,gc_992,gc_997,edge
gc_992_gc_356,gc_992,gc_356,edge
gc_1157_gc_1154,gc_1157,gc_1154,edge
gc_1187_gc_1148,gc_1187,gc_1148,edge
gc_1369_gc_992,gc_1369,gc_992,edge
gc_1369_gc_993,gc_1369,gc_993,edge
gc_568_gc_567,gc_568,gc_567,edge
gc_690_gc_691,gc_690,gc_691,edge
